Cycle/CIFAR,XAI Method,Accuracy,Precision,Recall,F1,Continuity,Compactness,Correctness,Consistency,XQS
1,GradCAM,0.89,0.892,0.89,0.89,0.922,0.349,0.179,0.01,0.526
1,SHAP,0.89,0.892,0.89,0.89,0.162,0.468,0.184,0.01,0.364
2,GradCAM,0.878,0.882,0.878,0.878,0.932,0.357,0.173,0.99,0.777
2,SHAP,0.878,0.882,0.878,0.878,0.179,0.482,0.183,0.271,0.437
3,GradCAM,0.894,0.897,0.894,0.894,0.927,0.361,0.154,0.993,0.782
3,SHAP,0.894,0.897,0.894,0.894,0.165,0.472,0.173,0.268,0.433
4,GradCAM,0.893,0.897,0.893,0.894,0.921,0.371,0.163,0.993,0.78
4,SHAP,0.893,0.897,0.893,0.894,0.162,0.474,0.152,0.262,0.437
5,GradCAM,0.899,0.903,0.899,0.899,0.908,0.375,0.138,0.992,0.784
5,SHAP,0.899,0.903,0.899,0.899,0.151,0.477,0.136,0.255,0.437
6,GradCAM,0.913,0.915,0.913,0.913,0.897,0.38,0.146,0.992,0.781
6,SHAP,0.913,0.915,0.913,0.913,0.145,0.471,0.13,0.25,0.434
7,GradCAM,0.908,0.909,0.908,0.908,0.925,0.416,0.161,0.987,0.792
7,SHAP,0.908,0.909,0.908,0.908,0.184,0.501,0.133,0.248,0.45
8,GradCAM,0.922,0.922,0.922,0.922,0.932,0.406,0.177,0.985,0.786
8,SHAP,0.922,0.922,0.922,0.922,0.178,0.488,0.143,0.247,0.443
9,GradCAM,0.916,0.919,0.916,0.915,0.914,0.403,0.17,0.986,0.783
9,SHAP,0.916,0.919,0.916,0.915,0.169,0.484,0.136,0.247,0.441
10,GradCAM,0.918,0.92,0.918,0.918,0.916,0.4,0.177,0.987,0.782
10,SHAP,0.918,0.92,0.918,0.918,0.152,0.487,0.129,0.245,0.439
11,GradCAM,0.92,0.921,0.92,0.92,0.91,0.397,0.179,0.987,0.779
11,SHAP,0.92,0.921,0.92,0.92,0.154,0.487,0.117,0.244,0.442
12,GradCAM,0.916,0.917,0.916,0.916,0.91,0.398,0.184,0.987,0.778
12,SHAP,0.916,0.917,0.916,0.916,0.156,0.48,0.115,0.242,0.441
13,GradCAM,0.92,0.921,0.92,0.92,0.902,0.39,0.175,0.987,0.776
13,SHAP,0.92,0.921,0.92,0.92,0.151,0.486,0.115,0.241,0.441
14,GradCAM,0.918,0.92,0.918,0.918,0.9,0.392,0.186,0.987,0.773
14,SHAP,0.918,0.92,0.918,0.918,0.153,0.488,0.116,0.241,0.441
15,GradCAM,0.922,0.923,0.922,0.922,0.894,0.391,0.168,0.987,0.776
15,SHAP,0.922,0.923,0.922,0.922,0.152,0.483,0.113,0.24,0.44
16,GradCAM,0.92,0.921,0.92,0.92,0.897,0.39,0.182,0.987,0.773
16,SHAP,0.92,0.921,0.92,0.92,0.149,0.493,0.123,0.239,0.44
17,GradCAM,0.921,0.923,0.921,0.922,0.9,0.386,0.167,0.987,0.776
17,SHAP,0.921,0.923,0.921,0.922,0.159,0.491,0.118,0.237,0.442
18,GradCAM,0.905,0.909,0.905,0.905,0.891,0.385,0.175,0.987,0.772
18,SHAP,0.905,0.909,0.905,0.905,0.143,0.492,0.122,0.236,0.437
19,GradCAM,0.919,0.919,0.919,0.918,0.89,0.386,0.159,0.987,0.776
19,SHAP,0.919,0.919,0.919,0.918,0.156,0.497,0.118,0.235,0.443
20,GradCAM,0.923,0.925,0.923,0.923,0.892,0.383,0.174,0.986,0.772
20,SHAP,0.923,0.925,0.923,0.923,0.152,0.494,0.117,0.235,0.441
